,date,close,open,high,low,volume
522,2020-12-04,273145.0,270534.0,274277.0,270534.0,1778896.0
523,2020-12-07,274544.0,273811.0,275401.0,271142.0,1499265.0
524,2020-12-08,270093.0,274513.0,274745.0,270092.0,1415239.0
525,2020-12-09,275547.0,270330.0,275547.0,270330.0,1252304.0
526,2020-12-10,274646.0,275034.0,276546.0,271870.0,1227651.0
527,2020-12-11,277006.0,275416.0,278104.0,275416.0,1215239.0
528,2020-12-14,276220.0,276943.0,278279.0,275529.0,1113630.0
529,2020-12-15,275682.0,276365.0,276937.0,273508.0,1093522.0
530,2020-12-16,277179.0,276364.0,278108.0,276150.0,1166637.0
531,2020-12-17,277043.0,276989.0,277271.0,274225.0,1015484.0
532,2020-12-18,277218.0,277095.0,278215.0,276280.0,1059143.0
533,2020-12-21,277865.0,277198.0,278024.0,274709.0,1139513.0
534,2020-12-22,273368.0,277203.0,277422.0,273364.0,1260761.0
535,2020-12-23,275982.0,273774.0,276908.0,271628.0,1121346.0
536,2020-12-24,280686.0,276260.0,281216.0,276260.0,1030890.0
537,2020-12-28,280860.0,282095.0,283459.0,279956.0,977647.0
538,2020-12-29,282051.0,281055.0,282344.0,279206.0,1036788.0
539,2020-12-30,287347.0,282036.0,287821.0,280935.0,1063141.0
540,2021-01-04,294445.0,287450.0,294654.0,286911.0,1026510.0
541,2021-01-05,299057.0,294367.0,299057.0,292184.0,1519911.0
542,2021-01-06,296821.0,299334.0,302716.0,296137.0,1793418.0
543,2021-01-07,303168.0,298075.0,305528.0,298075.0,1524654.0
544,2021-01-08,315218.0,304011.0,316111.0,304011.0,1297903.0
545,2021-01-11,314845.0,316190.0,326623.0,309619.0,1712525.0
546,2021-01-12,312595.0,314587.0,315479.0,304756.0,1390617.0
547,2021-01-13,314829.0,312826.0,316437.0,310963.0,1578042.0
548,2021-01-14,314993.0,314865.0,315903.0,312872.0,1233182.0
549,2021-01-15,308590.0,315384.0,318990.0,308590.0,1331079.0
550,2021-01-18,301393.0,307990.0,307990.0,300389.0,1472048.0
551,2021-01-19,309266.0,301305.0,310700.0,301132.0,1353312.0
552,2021-01-20,311455.0,311504.0,314501.0,307715.0,1192695.0
553,2021-01-21,316084.0,312327.0,316321.0,312327.0,1360065.0
554,2021-01-22,314063.0,316383.0,318526.0,314060.0,1111222.0
555,2021-01-25,320899.0,314401.0,321222.0,314280.0,1093652.0
556,2021-01-26,314031.0,320396.0,320918.0,313267.0,873023.0
557,2021-01-27,312256.0,314346.0,318253.0,311889.0,924582.0
558,2021-01-28,306905.0,311498.0,311498.0,304664.0,1310454.0
559,2021-01-29,297621.0,307873.0,310022.0,296270.0,995071.0
560,2021-02-01,305653.0,297681.0,305687.0,294724.0,969262.0
561,2021-02-02,309681.0,306556.0,313895.0,306556.0,887313.0
562,2021-02-03,312968.0,310842.0,314226.0,309185.0,901788.0
563,2021-02-04,308755.0,313502.0,313502.0,306846.0,1460945.0
564,2021-02-05,312063.0,309849.0,312462.0,308178.0,1193486.0
565,2021-02-08,309124.0,311363.0,312854.0,308559.0,1277207.0
566,2021-02-09,308467.0,310225.0,312966.0,308467.0,2145388.0
567,2021-02-10,310058.0,308813.0,311188.0,306425.0,2152916.0
568,2021-02-15,314700.0,310870.0,315656.0,310870.0,1604653.0
569,2021-02-16,316325.0,315185.0,318094.0,314584.0,1944395.0
570,2021-02-17,313373.0,316295.0,316295.0,311548.0,1784126.0
571,2021-02-18,308666.0,313174.0,314040.0,308666.0,1860566.0
572,2021-02-19,310762.0,308996.0,310967.0,304028.0,3455504.0
573,2021-02-22,307975.0,311403.0,314248.0,307916.0,1831955.0
574,2021-02-23,307009.0,306926.0,309429.0,303546.0,2357758.0
575,2021-02-24,299498.0,307058.0,309205.0,299346.0,1560930.0
